applicants_organisations_only, applicants_useme, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_codes, priority_country_name, priority_date, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, simple_family_size, title, title_phrases, url
"","SOLOMON NEAL","80","F41H13/00; G05D1/0088","","32","SOLOMON NEAL","F41H13/00; G05D1/02; G05D1/10","Control Systems; Weapons","F41H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence, E.G. Camouflage, In General; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","US","United States of America","20020422; 20020821; 20030422","US 37442102 P; US 40494502 P; US 40495602 P; US 42150203 A","2002; 2003","US","United States of America","2004-4-8","US 2004/0068415 A1","2004","1","System, Methods And Apparatus For Coordination Of And Targeting For Mobile Robotic Vehicles","Apparatus; Coordination; methods; Mobile Robotic Vehicles; system","https://lens.org/144-799-266-166-027"
"","GARVER THEODORE M","1","B64C23/02","","4","GARVER THEODORE M","B64C23/02","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","US","United States of America","20021030","US 28352402 A","2002","US","United States of America","2004-5-6","US 2004/0084570 A1","2004","4","Lift Adjusting Device For Aircraft","aircraft; Device; lift","https://lens.org/144-137-199-732-937"
"","HARRISON WILBUR ERNEST","0","H01Q1/1242","","2","HARRISON WILBUR ERNEST","H01Q1/12","Electrical Elements","H01Q: Electricity -> Basic Electric Elements -> Aerials","","US","United States of America","20021126","US 6587202 A","2002","US","United States of America","2004-6-10","US 2004/0108440 A1","2004","1","Harrison Free Standing Towers And Missile Defense System","harrison Free Standing Towers; Missile Defense System","https://lens.org/039-617-307-159-610"
"","REES FRANK L","89","G01N2291/02491; G01N2291/02827; G01N2291/0422; G01N29/07; G01N29/4454; G01N29/46; G03B42/06","","8","REES FRANK L","G03B42/06","Photography","G03B: Physics -> Photography; Cinematography; Analogous Techniques Using Waves Other Than Optical Waves; Electrography; Holography -> Apparatus Or Arrangements For Taking Photographs Or For Projecting Or Viewing Them; Apparatus Or Arrangements Employing Analogous Techniques Using Waves Other Than Optical Waves; Accessories Therefor","","US","United States of America","20031125","US 72264803 A","2003","US","United States of America","2004-9-9","US 2004/0174770 A1","2004","8","Gauss-rees Parametric Ultrawideband System","gauss-rees Parametric Ultrawideband System","https://lens.org/109-082-841-671-293"
"","BOHL JURGEN; DOMMER JOSEF; EHLEN TILO; SONNEMANN FRANK; STAINES GEOFFREY","7","F41H13/0068; H04K3/62","","9","BOHL JURGEN; DOMMER JOSEF; EHLEN TILO; SONNEMANN FRANK; STAINES GEOFFREY","H04K3/00","Electric Communication/Television","H04K: Electricity -> Electric Communication Technique -> Secret Communication; Jamming Of Communication","","DE","Germany","20030409","DE 10316120 A","2003","US","United States of America","2004-10-14","US 2004/0201942 A1","2004","9","Microwave Generator","microwave Generator","https://lens.org/170-071-337-315-669"
"","KALTSCHMIDT HORST; KLAUSING HELMUT","4","G01S13/9035","","7","KALTSCHMIDT HORST; KLAUSING HELMUT","G01S13/90; G01S7/03","Direction Finding","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","DE","Germany","20010426","DE 10120536 A","2001","US","United States of America","2004-10-14","US 2004/0201513 A1","2004","7","Radar System For Obstacle Warning And Imaging Of The Surface Of The Earth","Earth; Imaging; Obstacle Warning; radar System; Surface","https://lens.org/008-523-549-346-417"
"","NUGENT MARK R; SELMON JOHN RICHARD","1","B64C13/16; B64D31/06; G01S17/58; G01S17/95; G05D1/0615","","4","NUGENT MARK R; SELMON JOHN RICHARD","B64C13/16; B64D31/06; F41G7/26; G01J1/42; G05D1/03","Aircraft; Control Systems; Measuring; Weapons","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming; G01J: Physics -> Measuring; Testing -> Measurement Of Intensity, Velocity, Spectral Content, Polarisation, Phase Or Pulse Characteristics Of Infra-Red, Visible Or Ultra-Violet Light; Colorimetry; Radiation Pyrometry; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","US","United States of America","20030731","US 63334603 A; US 63335303 A","2003","US","United States of America","2005-3-3","US 2005/0045761 A1","2005","2","Proactive Optical Trajectory Following System","proactive Optical Trajectory; system","https://lens.org/100-796-813-409-981"
"","NAND RAJ; SELLS ROBIN","20","B63H21/24; B63H25/02; G08C17/02; G08C23/04","","5","NAND RAJ; SELLS ROBIN","B63B; B63B35/73; B63B35/81; B63B35/85; B63H19/00; B63H21/22; B63H25/02; G08C17/02; G08C23/04","Signalling; Waterborne Vessels/Ships","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; B63H: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Marine Propulsion Or Steering; G08C: Physics -> Signalling -> Transmission Systems For Measured Values, Control Or Similar Signals","","US","United States of America","20031205; 20041123","US 52719203 P; US 99465704 A","2003; 2004","US","United States of America","2005-6-9","US 2005/0124234 A1","2005","3","Remote Marine Craft System And Methods Of Using Same","methods; remote Marine Craft System; Same","https://lens.org/160-112-078-090-80X"
"","THOMAS MICHAEL STEVEN","31","A62C3/025","","3","THOMAS MICHAEL STEVEN","A62C11/00; A62C13/62; A62C13/66; A62C19/00; A62C2/00; A62C3/02","Fire-Fighting/Life-Saving","A62C: Human Necessities -> Life-Saving; Fire-Fighting -> Fire-Fighting","","US","United States of America","20030731; 20040729","US 49181603 P; US 90259804 A","2003; 2004","US","United States of America","2005-6-30","US 2005/0139363 A1","2005","1","Fire Suppression Delivery System","fire Suppression Delivery System","https://lens.org/131-074-818-355-310"
"JADI INC","JADI INC","42","G01S5/0284; G01S5/0289; G01S5/06; G01S5/08; G01S5/10; G01S5/14; H04W64/00","","13","CHEOK KA C; SMID GERT EDZKO","G01S19/25; G01S5/02; G01S5/06; G01S5/08; G01S5/10; G01S5/14; H04W64/00","Direction Finding; Wireless Communication Networks","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","20040217; 20041001; 20041217","US 54523804 P; US 61512104 P; US 63727604 P","2004","US","United States of America","2005-9-29","US 2005/0215269 A1","2005","12","Navigation System","navigation System","https://lens.org/156-769-810-800-078"
"OPTOSENSE TECHNOLOGIES INC","OPTOSENSE TECHNOLOGIES INC","2","G01F23/52","","4","HODGE MALCOLM; MARGOLIN MARK","G01F23/52","Measuring","G01F: Physics -> Measuring; Testing -> Measuring Volume, Volume Flow, Mass Flow, Or Liquid Level; Metering By Volume","","US","United States of America","20041202","US 172604 A","2004","US","United States of America","2006-6-8","US 2006/0117846 A1","2006","4","Fiber Optic Flammable Liquid Measuring System","fiber Optic Flammable Liquid; system","https://lens.org/049-944-971-800-964"
"","BURCHETTE ROBERT L JR","12","G06Q20/341; G06Q20/40145; G07F7/0866; G07F7/0873; G07F7/0886; G07F7/1008","","17","BURCHETTE ROBERT L JR","G06K5/00; G07F7/08; G07F7/10","Checking Devices; Computing","G06K: Physics -> Computing; Calculating; Counting -> Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers; G07F: Physics -> Checking-Devices -> Coin-Freed Or Like Apparatus","","US","United States of America","20011119; 20060130","US 33303501 P; US 34296406 A","2001; 2006","US","United States of America","2006-6-8","US 2006/0118621 A1","2006","1","Transaction Card System Having Security Against Unauthorized Usage","Security; transaction Card System; Unauthorized Usage","https://lens.org/120-652-252-343-54X"
"","LEIRAS CARLOS","1","G01S13/785; G01S13/87","","5","LEIRAS CARLOS","G01S13/00","Direction Finding","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","FR","France","20050128","FR 0500894 A","2005","US","United States of America","2006-11-23","US 2006/0262005 A1","2006","5","Method Of Electromagnetic Coupling Between A Radar In The L Band And Radionavigation Equipment Item And Autoprotection And Radionavigation Device","Autoprotection; Electromagnetic Coupling; L Band; method; radar; Radionavigation Device; Radionavigation Equipment Item","https://lens.org/192-966-567-672-165"
"","MATSUMURA TOSHIYUKI; SAIKI SHUJI","26","H04R1/2803; H04R2209/041","","4","MATSUMURA TOSHIYUKI; SAIKI SHUJI","H04R9/06","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","JP","Japan","20050524","JP 2005150772 A","2005","US","United States of America","2006-11-30","US 2006/0269095 A1","2006","2","Loudspeaker Apparatus","loudspeaker Apparatus","https://lens.org/017-458-974-300-864"
"","BAILEY HERMAN","30","G06F3/011","","2","BAILEY HERMAN","G09G5/00","Signs, Advertising","G09G: Physics -> Educating; Cryptography; Display; Advertising; Seals -> Arrangements Or Circuits For Control Of Indicating Devices Using Static Means To Present Variable Information","","EP","European Patent Office","20050415","EP 05008272 A","2005","US","United States of America","2007-2-1","US 2007/0024644 A1","2007","2","Interactive Augmented Reality System","interactive Augmented Reality System","https://lens.org/159-829-015-717-233"
"DIEHL GMBH & CO","DIEHL GMBH & CO","14","G08B13/19641; G08B13/1966; G08B13/19669; G08B25/009; G08B29/22","","5","ESSER GERD; GLOCKLER ROMAN; KALISCH PETER","G01S3/02","Direction Finding","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","DE","Germany","20051008","DE 102005048269 A","2005","US","United States of America","2007-4-12","US 2007/0080863 A1","2007","5","Sensor Network And Method For Monitoring A Terrain","method; sensor Network; Terrain","https://lens.org/130-684-239-631-247"
"","BAUKUS WILLIAM J; CALLERAME JOSEPH; CASON WILLIAM R; ROTHSCHILD PETER; SAPP WILLIAM W JR; SCHUBERT JEFFREY; SCHUELLER RICHARD","46","G01N23/04; G01N23/203; G01V5/0016; G01V5/0025","","89","BAUKUS WILLIAM JOHN; CALLERAME JOSEPH; CASON WILLIAM R; ROTHSCHILD PETER; SAPP WILLIAM W JR; SCHUBERT JEFFREY; SCHUELLER RICHARD","G01N23/04","Measuring","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","US","United States of America","20051024; 20051209","US 72952805 P; US 72954805 P; US 74890905 P","2005","US","United States of America","2007-5-3","US 2007/0098142 A1","2007","7","X-ray Inspection Based On Scatter Detection","Scatter Detection; x-ray Inspection","https://lens.org/137-471-560-364-013"
"HONEYWELL INT INC","HONEYWELL INT INC","27","B60W40/04; G08G1/163","","1","HENGST TIMOTHY M","G08G1/00","Signalling","G08G: Physics -> Signalling -> Traffic Control Systems","","US","United States of America","20051208","US 29727005 A","2005","US","United States of America","2007-6-14","US 2007/0135989 A1","2007","1","System And Method For Controlling Vehicular Traffic Flow","Controlling Vehicular Traffic Flow; method; system","https://lens.org/135-626-074-939-839"
"","KANO SAWAKO; KUZE MITSUKAZU; MATSUMURA TOSHIYUKI; SAIKI SHUJI","14","H04R1/2803; H04R1/2819; H04R1/2834","","6","KANO SAWAKO; KUZE MITSUKAZU; MATSUMURA TOSHIYUKI; SAIKI SHUJI","H04R1/00; H04R1/02; H04R1/20; H04R1/28","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","JP","Japan","20040331","JP 2004103759 A","2004","US","United States of America","2007-6-28","US 2007/0147645 A1","2007","6","Loudspeaker System","loudspeaker System","https://lens.org/158-178-885-310-610"
"","MORRIS JAMES O","1","G01N1/2035; G01N2001/205","","2","MORRIS JAMES O","G01N30/20","Measuring","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","US","United States of America","20060203","US 34747106 A","2006","US","United States of America","2007-8-9","US 2007/0180934 A1","2007","2","Liquid Sampling Apparatus","liquid Sampling Apparatus","https://lens.org/076-120-004-261-077"
"","BERRY JENNIFER","0","A01K11/006; A01K47/06; A01K49/00","","2","BERRY JENNIFER","A01K47/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","US","United States of America","20060301; 20070228","US 71194007 A; US 77785606 P","2006; 2007","US","United States of America","2007-9-6","US 2007/0207701 A1","2007","2","System To Detect The Presence Of A Queen Bee In A Hive","Hive; Queen Bee; system","https://lens.org/033-006-837-671-581"
"","ZIPF EDWARD C","19","G01N2021/1793; G01N2021/6417; G01N21/631; G01N21/645","","4","ZIPF EDWARD C","G01N21/64","Measuring","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","US","United States of America","20051212; 20061211","US 63720006 A; US 74981105 P","2005; 2006","US","United States of America","2007-9-27","US 2007/0221863 A1","2007","4","Emission Detector For The Remote Detection Of Explosives And Illegal Drugs","emission Detector; Explosives; Illegal Drugs; Remote Detection","https://lens.org/100-112-571-136-940"
"","KRASUTSKY NICHOLAS","5","F41G7/008; F41G7/2213; F41G7/2246; F41G7/226; F41G7/2293","","4","KRASUTSKY NICHOLAS","F42B15/01; G01C3/08","Measuring; Weapons","F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","US","United States of America","20050708","US 17745805 A","2005","US","United States of America","2007-9-27","US 2007/0222968 A1","2007","4","Laser-based System With Ladar And Sal Capabilities","Ladar; laser-based System; Sal Capabilities","https://lens.org/171-991-484-147-931"
"LOCKHEED CORP","LOCKHEED CORP","15","G01S17/42; G01S7/4811; G01S7/4813; G01S7/4817; G01S7/484; G02B23/16","","3","KRASUTSKY NICHOLAS","G01C3/08","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","US","United States of America","20050708","US 17778205 A","2005","US","United States of America","2008-1-3","US 2008/0002176 A1","2008","3","Lookdown And Loitering Ladar System","Ladar System; lookdown","https://lens.org/090-963-662-892-500"
